Chapter,Grammar Point,Descriptive Title,Detailed Summary and Scope
1,1.1,Defining Identity (X は Y です),"Establishes the relationship ""X is Y"" using the topic particle は (pronounced wa) and the copula です. Used to state names, nationalities, and occupations."
1,1.2,Basic Inquiry (Question Sentences),Converting statements into questions by adding the particle か at the end. Includes the use of question words like 何時 (what time) and 何歳 (how old).
1,1.3,Connecting Nouns (Noun1 の Noun2),"Using the particle の to link nouns. It indicates possession (e.g., ""my teacher"") or categorization/restriction (e.g., ""Japanese language student"")."
2,2.1,Demonstrative Pronouns (これ・それ・あれ),"Using これ, それ, and あれ to refer to objects based on their proximity to the speaker and listener. どれ is the question word for ""which one."""
2,2.2,Specifying Objects (この・その・あの),"Demonstrative determiners that must be followed by a noun (e.g., この本 — this book)."
2,2.3,Identifying Places (ここ・そこ・あそこ),"Words used to identify locations relative to the speaker/listener. どこ is used to ask ""where."""
2,2.4,Asking for Ownership (だれの + Noun),"Combining the question word だれ (who) with the particle の to ask ""whose."""
2,2.5,Addition and Inclusion (Particle も),"Using も to mean ""also"" or ""too,"" replacing the particles は or が."
2,2.6,Negative Identity (～じゃないです),"The formal negative form of です, used to state that something is NOT the case."
2,2.7,Social Feedback (Particles ね and よ),"Sentence-ending particles: ね for seeking agreement (""right?"") and よ for providing new information (""I tell you"")."
3,3.1,Verb Classes and Conjugation,"Categorizing verbs into う-verbs, る-verbs, and irregular verbs (くる, する). Teaches the formal ～ます forms for present affirmative and negative."
3,3.2,The Present Tense,"The present tense is used for habitual actions (e.g., ""I often watch TV"") or future intent (e.g., ""I will go tomorrow"")."
3,3.3,"Sentence Logistics (Particles を, で, に, へ)","Particles marking direct objects (を), locations of action (で), and goals/destinations of movement (に or へ)."
3,3.4,Temporal Markers (Time References),"Using the particle に with specific time expressions like ""at 3:00"" or ""on Sunday."""
3,3.5,Polite Invitations (～ませんか),"Formulating ""Why don't we...?"" suggestions by using the negative question form of a verb."
3,3.6,Frequency Adverbs,"Using words like よく (often), ときどき (sometimes), and ぜんぜん (not at all) to qualify activities."
4,4.1,Stating Existence (あります / います),"Using あります for inanimate objects and います for living beings to say ""there is"" or ""I have."""
4,4.2,Positional Descriptions,"Describing where things are using location nouns (e.g., 上 — above, 下 — under) and the particle の."
4,4.3,Past Identity (Past Tense of です),Using ～でした (affirmative) and ～じゃなかったです (negative) to describe past states.
4,4.4,Recounting Actions (Past Tense of Verbs),Conjugating verbs into the past tense using ～ました and ～ませんでした.
4,4.5,Connecting Items (Particle と),"Using と to mean ""and"" (between nouns) or ""with"" (someone)."
4,4.6,Measuring Time (Duration),Expressing how long an activity lasts using duration words like 一時間 (for one hour).
5,5.1,Attribute Basics (Adjective Tenses),Present tense of い-adjectives (ending in ～い) and な-adjectives (taking ～な before nouns).
5,5.2,Attribute History (Past Tense of Adjectives),"Past tense forms for adjectives, such as changing the final ～い to ～かったです for い-adjectives."
5,5.3,Modifying Nouns (Adjective + Noun),"Placing adjectives directly before nouns to describe them (e.g., おもしろい本 — an interesting book)."
5,5.4,Personal Preferences (好き / 嫌い),Expressing likes and dislikes using 好き (like) and 嫌い (dislike) with the particle が.
5,5.5,Making Suggestions (～ましょう / ～ましょうか),"Using ～ましょう to say ""Let's..."" and ～ましょうか to say ""Shall I/we...?""."
6,6.1,Verb Linking (て-form),"Conjugating verbs into the て-form, which is used to connect sentences or add auxiliary meanings."
6,6.2,Asking for Favors (～てください),"Combining the て-form with ください to make a polite request (""Please do..."")."
6,6.3,Sequencing Actions (て-form for Activities),Using the て-form to describe two or more activities performed in chronological order.
6,6.4,Granting Permission (～てもいいです),"Saying ""You may do..."" or asking for permission (""May I...?"")."
6,6.5,Denying Permission (～てはいけません),"Expressing prohibition or ""You must not do...""."
6,6.6,Explaining Reasons (Particle から),"Using から to mean ""because"" or ""therefore"" to link a reason to an effect."
7,7.1,Current Actions (～ている),Using the て-form with いる to describe actions currently in progress.
7,7.2,Resultant States (～ている for Change),"Using ～ている for actions that resulted in a lasting state (e.g., ""to be married"" or ""to live in"")."
7,7.3,Describing Appearance (X は Y が Adjective),"A structure to describe parts of a whole, such as ""Mary has long hair"" (メアリーさんは髪が長いです)."
7,7.4,Complex Descriptions (Joining Phrases),Using て-forms of adjectives and nouns to link multiple descriptive phrases into one sentence.
7,7.5,Purpose of Movement (Stem + に行く),"Expressing the reason for going somewhere (e.g., ""go to study"" — 勉強しに行く) using the verb stem."
8,8.1,Informal Language (Short Forms),"Introduction to short forms (dictionary forms) for verbs and adjectives, used in casual settings and grammar patterns."
8,8.2,Casual Conversations,Rules for dropping particles and using short forms in informal dialogue between friends or family.
8,8.3,Sharing Thoughts (Short Form + と思います),"Using short forms to say ""I think that...""."
8,8.4,Reporting Speech (Short Form + と言っていました),Using short forms to report what someone else said in the past.
8,8.5,Negative Requests (～ないでください),"Using the negative short form + でください to say ""Please don't...""."
8,8.6,Nominalized Verbs (Verb + のが好き),"Turning a verb into a noun using の to say you like ""doing"" something (e.g., 食べるのが好き — I like eating)."
8,8.7,Emphasizing Subjects (Particle が),"Using が to mark the subject when introducing new information or answering ""who/which"" questions."
8,8.8,Indefinite References (何か / 何も),"Using 何か for ""something"" and 何も (with negative verbs) for ""nothing."""
9,9.1,Past Casual Style (Past Short Forms),"Conjugating verbs and adjectives into informal past tense (e.g., ～た for verbs)."
9,9.2,Relative Clauses (Noun Modification),"Using entire sentences (in short form) to modify a noun (e.g., ""The person who is eating"")."
9,9.3,Already and Not Yet (もう / まだ),"Using もう + past tense (""already did"") and まだ + ～ていません (""have not yet done"")."
10,10.1,Simple Comparison (A のほうが B より),Stating that item A is more [adjective] than item B.
10,10.2,Superlatives (～の中で ... が一番),"Saying that something is the ""most"" or ""best"" within a specific group."
10,10.3,Noun Replacement (Adjective + の),"Using の to replace a noun that has already been mentioned to avoid repetition (e.g., ""the red one"")."
10,10.4,Planned Future (～つもりだ),Using short forms + つもり to express one's intention or plan to do something.
10,10.5,Describing Change (Adjective + なる),"Expressing that something ""becomes"" a certain way (e.g., あつくなる — to get hot)."
11,11.1,Personal Desires (～たい),"Conjugating verbs into the ～たい form to say ""I want to do...""."
11,11.2,Listing Representative Actions (～たり... ～たりする),Listing a few examples of activities out of many using the ～たり form.
11,11.3,Sharing Experiences (～ことがある),"Using the past short form + ことがある to say ""I have the experience of...""."
11,11.4,Incomplete Lists (Particle や),"Using や to connect nouns when the list is not exhaustive (A, B, and others)."
12,12.1,Giving Explanations (～んです),"Using ～んです at the end of a sentence to provide a reason, explanation, or emphasis."
12,12.2,Expressing Excess (～すぎる),"Using the verb stem or adjective base + すぎる to say something is ""too much"" or ""excessive."""
12,12.3,Giving Advice (～ほうがいいです),"Recommending a course of action (""It's better to...""). Uses past short form for affirmative advice."
12,12.4,Formal Causality (Particle ので),"A more polite and objective way to say ""because"" compared to から."
12,12.5,Stating Obligation (～なければいけません),"Expressing ""must"" or ""have to"" do something."
12,12.6,Conjectures (～でしょうか),"Using ～でしょうか for polite wondering or asking ""I wonder if...?"""
13,13.1,Capability (可能動詞 - Potential Verbs),"Expresses ability or possibility (""can do""). る-verbs change to ～られる; う-verbs change their final sound to the -e row + る (e.g., 行く → 行ける)."
13,13.2,Listing Reasons (～し),"Used to list two or more reasons for a situation, often following a predicate in short form. It implies the reasons provided are not the only ones."
13,13.3,Visual Impressions (～そうです),"Adding ～そうです to adjective bases to express a guess based on visual or intuitive impressions (""looks like""). いい becomes よさそう."
13,13.4,Tentative Attempt (～てみる),"Using the て-form + みる to express ""trying something out"" or doing something tentatively to see the outcome."
13,13.5,Contrast and Limitation (なら),"Used when a predicate applies only to a specific noun and not generally, indicating contrast or limitation (""If it's X..."")."
13,13.6,Frequency (一週間に三回),"Framework for describing how often something happens over a period of time: (period) に (frequency) (e.g., three times a week)."
14,14.1,Desiring Objects (ほしい),"Used to say the speaker ""wants"" something. Typically uses the が particle for the object. To describe someone else's desire, use ～と言っています or ほしがっている."
14,14.2,Uncertain Possibility (～かもしれません),"Expresses that something is a possibility (""might"" or ""may""). Follows short forms of predicates; だ is dropped for nouns and な-adjectives."
14,14.3,Gifts (あげる / くれる / もらう),"Verbs for giving and receiving objects: あげる (give to others), くれる (give to me), and もらう (receive from someone)."
14,14.4,Giving Advice (～たらどうですか),"A polite way to suggest a course of action (""Why don't you...?""). Follows the past short form of a verb."
14,14.5,Quantity Emphasis (も / しか),"Number + も indicates ""as many as,"" while Number + しか + Negative indicates ""as few as"" or ""only""."
15,15.1,Volitional Suggestions (意向形 - Volitional Form),"The casual equivalent of ～ましょう, used to suggest plans or offer help to close friends."
15,15.2,Firm Intentions (Volitional + と思っています),"Used to talk about resolutions or decisions already made (""I intend to...""). と思います indicates a decision made on the spot."
15,15.3,Preparation (～ておく),Describes an action performed in advance as preparation for something else. Often shortened to ～とく in speech.
15,15.4,Relative Clauses (Qualifying Nouns),"Using entire sentences (in short form) to qualify a noun, similar to ""The book that I read""."
16,16.1,Exchange of Favors (～てあげる / ～てくれる / ～てもらう),Using giving/receiving verbs with the て-form to describe providing or receiving services as favors.
16,16.2,Polite Requests (～ていただけませんか),"A very polite way to ask for a favor, following the て-form of a verb."
16,16.3,Hopes and Wishes (～といい),Used to hope for good luck for others (～といいですね) or for oneself (～といいんですが).
16,16.4,Temporal Context (～時),"Using 時 (とき) to describe when an event occurs. The clause before 時 ends in the short form (present for upcoming, past for completed)."
16,16.5,Apologizing (～てすみませんでした),A polite way to apologize for a specific action performed in the past.
17,17.1,Reporting Hearsay (～そうです - I hear),"Used to report information heard from other sources (""I hear that...""). Follows short forms and keeps だ for nouns and な-adjectives."
17,17.2,Informal Hearsay (～って),The casual/spoken equivalent of ～と言っていました or the hearsay ～そうです.
17,17.3,Conditional Conditions (～たら),"Expresses ""if"" or ""after."" Formed by adding ～ら to the past short form of predicates."
17,17.4,Lack of Obligation (～なくてもいいです),"Used to state that something is not necessary (""You don't have to..."")."
17,17.5,Resemblance (～みたいです),"Expresses that something ""looks like"" or ""resembles"" another thing based on observation. Follows short forms."
17,17.6,Sequencing (前に / ～てから),前に (before doing X) always follows the present short form. ～てから (after doing X) follows the て-form.
18,18.1,Transitivity Pairs (他動詞・自動詞),Introduction to verb pairs where one is transitive (acting on something) and the other is intransitive (change occurring to something).
18,18.2,Resultant States (Intransitive + ている),"Describes a state resulting from a change (e.g., 開いている — the window is open)."
18,18.3,Completion and Regret (～てしまう),Indicates finishing a task completely or that something regrettable happened inadvertently.
18,18.4,Natural Consequence (～と),"Expresses cause-and-effect: ""Whenever A happens, B happens too."" A is always in the present short form."
18,18.5,Simultaneous Actions (～ながら),"Connects two verbs performed by the same person at the same time. Follows the verb stem (e.g., 聞きながら)."
18,18.6,Hypothetical Regret (～ばよかったです),"Expresses ""I wish I had done..."" or ""I should have done..."" to describe regret over an alternative course of action."
19,19.1,Respectful Verbs (尊敬動詞 - Honorifics),Special verbs or the お + stem + になる pattern used to exalt the actions of others (superiors or strangers).
19,19.2,Respectful Advice (お + Stem + ください),COURTEOUS commands typically used in public announcements or stores.
19,19.3,Gratitude for Actions (～てくれてありがとう),"Expresses thanks for a specific favor. In formal situations, use ～てくださいましてありがとうございました."
19,19.4,Gladness (～てよかったです),"States ""I am glad that such and such was the case""."
19,19.5,Expected States (～はずです),"Used when you believe something is ""supposed to be"" or ""must be"" the case based on logic or evidence."
20,20.1,Humble Politeness (謙譲語 - Extra-modest),"Special verbs (e.g., 申します, 参ります) used to talk modestly about oneself to show deference to the listener."
20,20.2,Humble Favor (お + Stem + する),"A pattern used when the speaker performs an action out of respect for someone else (e.g., お会いしました)."
20,20.3,Action Absence (～ないで),"Expresses doing one action ""without doing"" another (e.g., ""studied without sleeping"")."
20,20.4,Embedded Questions (か / かどうか),"Including questions within larger sentences (e.g., ""I don't know where she lives""). Uses か for question-words and かどうか for yes/no."
20,20.5,Naming (Name という Item),"Pattern for introducing a person or item by name (""an item called 'Name'"")."
20,20.6,Ease and Difficulty (～やすい / ～にくい),Adding ～やすい (easy to do) or ～にくい (hard to do) to a verb stem to create an い-adjective.
21,21.1,Passive Voice (受身形 - Passive Sentences),"Used when a ""victim"" is affected by a ""villain's"" act, often indicating annoyance or disadvantage."
21,21.2,Purposeful State (～てある),"Characterizes a state brought about on purpose by someone unnamed (e.g., ""The reservation has been made"")."
21,21.3,Occurring During (～間に),A 間に B means event B occurs while state A is in progress.
21,21.4,Manipulating Attributes (Adjective + する),"Using する with adjectives to mean ""to make something [adjective]"" (e.g., 静かにする — to keep quiet)."
21,21.5,Desiring Action from Others (～てほしい),"Expresses ""I want (someone else) to do something."" The target is marked with に."
22,22.1,Causative Control (使役形 - Causative Sentences),Expresses making or letting someone do something. る-verbs → ～させる; う-verbs → -a row + せる.
22,22.2,Favor of Permission (Causative + くれる/あげる),"Combining causative forms with giving verbs to express ""letting me do"" or ""giving the favor of allowing""."
22,22.3,Firm Command (Verb Stem + なさい),A strong instruction or command often used by parents or teachers.
22,22.4,Conditional Results (～ば),"Condition A that guarantees a good or desired result B (""If you do A, then B..."")."
22,22.5,Contrary Outcomes (～のに),"Connects two facts where the second holds true in spite of expectations (""Despite the fact X, Y"")."
22,22.6,Comparisons and Examples (～のように / ～のような),"Describes action done ""like"" something else or a noun similar to a provided example."
23,23.1,Forced Action (使役受身形 - Causative-passive),"Expresses being ""made to do"" something against one's will; often implies reluctance."
23,23.2,Concession (～ても),"Expresses ""even if"" or ""no matter how."" Used for both present and past scenarios."
23,23.3,Decisions (～ことにする),"Expresses ""decide to do..."" based on short form present tense."
23,23.4,Regular Practice (～ことにしている),Expresses doing something as a regular rule or habit.
23,23.5,Duration (～まで),"Means ""until."" The event before まで is always present affirmative."
23,23.6,Methodology (～方),"Noun-forming suffix meaning ""the way to do X."" Replaces verb stem (e.g., 泳ぎ方)."